,username,spider,skeleton,magma_cube,piglin,pig,creeper,sheep,zombie,ghast,cow,enderman,chicken,zombie_villager,axolotl,blaze,cat,cave_spider,drowned,elder_guardian,glow_squid,guardian,hoglin,horse,iron_golem,phantom,piglin_brute,pillager,salmon,shulker,silverfish,slime,squid,trader_llama,witch,wither,wither_skeleton,zombified_piglin,wandering_trader,stray,bat,cod,endermite,evoker,husk,rabbit,ravager,vindicator,llama,wolf,bee,turtle,ender_dragon,panda,parrot,polar_bear,strider,tropical_fish,vex,pufferfish,skeleton_horse,villager,donkey,mooshroom,fox,zoglin,zombie_horse,dolphin,goat,snow_golem,giant,mule,ocelot
180,sfpt,9.0,27.0,,,,10.0,1.0,72.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,4.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
181,LizzieLocks,1.0,,,,,,,1.0,,,1644.0,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,mrcyborgsquid,27.0,90.0,178.0,3.0,5.0,61.0,4.0,154.0,2.0,9.0,5854.0,5.0,4.0,1.0,37.0,,6.0,1.0,,1.0,,8.0,1.0,,10.0,,,,,,,1.0,1.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,HiIGuess,102.0,96.0,,2.0,16.0,87.0,18.0,374.0,1.0,45.0,3276.0,19.0,4.0,,,2.0,,4.0,,,,,1.0,2.0,7.0,,11.0,17.0,4.0,,,4.0,3.0,3.0,,,29.0,1.0,,,,,1.0,13.0,1.0,2.0,4.0,,1.0,,,,,,,,,5.0,,1.0,,,,,,,,,,,,
184,Shanki_kun,,1.0,,,,,,,,3.0,,1.0,,,,3.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,blond996,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,opp31337,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,fracturedfiree,3.0,5.0,,,,1.0,7.0,10.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,ImJustB0nk,4.0,3.0,,,4.0,3.0,8.0,9.0,,,3.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,2.0,,,,1.0,,,,,1.0,,,,4.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,
189,Rich_U2,1.0,3.0,,1.0,5.0,2.0,4.0,152.0,1.0,1.0,1.0,2038.0,,,,,,170154.0,,,,,,,1.0,,621878.0,,4.0,,16.0,,,119356.0,,,612650.0,,,,,,80781.0,,,,415366.0,,,,2.0,,,,,,,6.0,,,,,,,,,,,,,,
190,AlchemiDae,1.0,2.0,,,7.0,,5.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Lantias,32.0,55.0,,1.0,4.0,29.0,10.0,187.0,,1.0,7698.0,4.0,,,,,2.0,3.0,,3.0,,,,1.0,,,,3.0,,,170.0,27.0,7.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,
192,Kelone,,,,,7.0,,4.0,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,akshay69,1.0,,,,,,1.0,4.0,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Totty3,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,WildAcid5494,1.0,3.0,,,7.0,,3.0,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
196,Cuddlyjelly,,,,,28.0,,15.0,,,65.0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
197,Monsieur_Walruss,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Bazo_05,546.0,53.0,68.0,145.0,18.0,26.0,6.0,103.0,13.0,26.0,5406.0,10.0,3.0,,,,,23.0,,,,113.0,,,8.0,,,1.0,24.0,,25.0,77.0,7.0,,4.0,203.0,,4.0,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
199,NoMercy00,8.0,3.0,6.0,1.0,4.0,,3.0,23.0,,5.0,3.0,1.0,,,,,,2.0,,,,4.0,4.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Kablaouye,55.0,182.0,56.0,29.0,9.0,66.0,18.0,392.0,4.0,2.0,8374.0,5.0,4.0,51.0,1.0,1.0,2.0,203.0,,54.0,,4.0,,1.0,94.0,7.0,2.0,27.0,,,40.0,40.0,2.0,2.0,,2.0,16.0,,1.0,4.0,17.0,3.0,,12.0,,,,,,,10.0,,,,,,1.0,,1.0,,2.0,,138.0,,,,,,,,,
201,snippings,,,,1.0,1.0,,4.0,5.0,,2.0,491.0,9.0,,,,,,,,,,,,,5.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Luci_Lionheart,2.0,5.0,,,26.0,7.0,2.0,4.0,,42.0,,378.0,,,,,,,,,,,,,,,1.0,10.0,,,,2.0,,,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,_Arachni_,47.0,1146.0,257.0,73.0,13.0,581.0,326.0,771.0,33.0,325.0,8399.0,1498.0,14.0,,149.0,1.0,3.0,66.0,,4.0,1.0,33.0,,9.0,8.0,,134.0,1550.0,2.0,7.0,17.0,69.0,9.0,23.0,,50.0,343.0,3.0,,,7.0,4.0,4.0,5.0,15.0,5.0,25.0,5.0,7.0,2.0,5.0,,1.0,,,8.0,2.0,5.0,,6.0,,,1.0,1.0,,,,,,,,
204,DashonXbox,15.0,43.0,,,1.0,43.0,1.0,108.0,,103.0,5573.0,1.0,7.0,,,,,,,,,,1.0,,12.0,,8.0,,,30.0,14.0,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Bellatorr,1.0,2.0,,,4.0,1.0,4.0,6.0,,1.0,,1.0,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,HelloImSteven,7.0,42.0,,5.0,,20.0,,100.0,,,963.0,,1.0,,,,4.0,,,,,2.0,,,10.0,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Brobdingnagian,38.0,77.0,19.0,55.0,5.0,56.0,16.0,273.0,13.0,22.0,13176.0,5.0,10.0,,3.0,,,1.0,,,,30.0,1.0,6.0,,,4.0,,,,31.0,4.0,,2.0,19.0,1056.0,13.0,,,,,,,,,,8.0,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,
208,M4Mancy,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,bokoedro,,1.0,,3.0,5.0,1.0,7.0,1.0,1.0,2.0,234.0,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Zoramy,6.0,27.0,,,,7.0,12.0,46.0,2.0,11.0,4141.0,4.0,2.0,,,,,,,1.0,,,2.0,6.0,,,,6.0,,,,2.0,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,
211,KingDyte,51.0,172.0,,9.0,14.0,100.0,32.0,285.0,,10.0,20368.0,28.0,6.0,,,27.0,,13.0,,,,22.0,1.0,1.0,22.0,,34.0,79.0,727.0,3.0,82.0,142.0,11.0,21.0,,,969.0,4.0,,,1.0,2.0,3.0,3.0,2.0,3.0,14.0,,,,,,,,,,,9.0,1.0,,4.0,,,7.0,,,,,,,,
212,KrunkJunks,,5.0,,,,,4.0,9.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,MiniMichiii,86.0,197.0,50.0,59.0,22.0,197.0,21.0,462.0,8.0,17.0,25826.0,9.0,10.0,2.0,25.0,,14.0,15.0,,13.0,,27.0,1.0,,50.0,,10.0,,1476.0,,46.0,30.0,3.0,9.0,,16.0,10.0,1.0,16.0,,,3.0,1.0,1.0,1.0,1.0,4.0,,,,4.0,1.0,190.0,,1.0,,,1.0,,3.0,4.0,,,1.0,,,,,,,,
214,darkfire247g,8.0,7.0,,,6.0,7.0,5.0,14.0,,8.0,1.0,6.0,,,,,,1.0,,,,,3.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,portiarulz,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,TheRealOne23765,92.0,124.0,145.0,174.0,32.0,102.0,61.0,228.0,20.0,100.0,6945.0,23.0,4.0,,287.0,1.0,12.0,79.0,,,8.0,62.0,1.0,2.0,47.0,7.0,20.0,21.0,107.0,6.0,9.0,9.0,1.0,3.0,2.0,412.0,4.0,,,,,1.0,,,13.0,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,
217,Aquatic_Phantasm,1.0,980.0,,,,3.0,,7.0,,,1086.0,,1.0,,,,,1.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,scoot1506,1.0,1.0,,,5.0,,9.0,2.0,,8.0,,4.0,,,,,,3.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Hardy26,476.0,569.0,12.0,121.0,28.0,594.0,22.0,1185.0,22.0,60.0,5449.0,100.0,37.0,6.0,58.0,17.0,,357.0,,3.0,,48.0,5.0,51.0,98.0,1.0,6154.0,51.0,,,237.0,35.0,8.0,1555.0,22.0,2196.0,2140.0,3.0,,2.0,4.0,3.0,1069.0,11.0,,9.0,4986.0,,,1.0,15.0,,,,,4.0,,53.0,1.0,4.0,79.0,1.0,,,,,2.0,,,,,
220,JHH2017,4.0,2.0,,,2.0,2.0,2.0,13.0,,,,,,,,,,1.0,,,,,,,,,,7.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Florianm23,211.0,1374.0,160.0,156.0,119.0,288.0,250.0,1258.0,38.0,268.0,9690.0,122.0,13.0,,103.0,22.0,1.0,658.0,1.0,,23.0,59.0,4.0,58.0,102.0,20.0,15.0,178.0,556.0,5.0,402.0,97.0,13.0,12.0,13.0,1092.0,36.0,2.0,1.0,,3.0,2.0,,17.0,7.0,1.0,2.0,6.0,2.0,,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,,28.0,,4.0,1.0,1.0,,,,,,,
222,PunnyFox,9.0,33.0,,,6.0,2.0,76.0,43.0,,157.0,558.0,5.0,,,,,1.0,1.0,,1.0,,,,,6.0,,4.0,62.0,,,13.0,6.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
223,miner47000,17.0,28.0,,,3.0,29.0,8.0,69.0,,4.0,1441.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,78.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,CatGosCrazy,67.0,214.0,15.0,5.0,15.0,151.0,13.0,374.0,12.0,20.0,7458.0,40.0,6.0,,47.0,3.0,6.0,103.0,3.0,4.0,8.0,,8.0,2.0,29.0,,18.0,88.0,20.0,27.0,19.0,123.0,3.0,11.0,,46.0,21.0,1.0,,1.0,9.0,5.0,1.0,,,,2.0,4.0,,2.0,14.0,1.0,,,2.0,1.0,7.0,,6.0,,,1.0,,,,,1.0,,,,,
225,MockingJayee,1.0,4.0,,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,MarioKing64,85.0,205.0,,,13.0,139.0,10.0,336.0,1.0,84.0,11902.0,20.0,9.0,1.0,,,3.0,12.0,,2.0,,2.0,1.0,,39.0,3.0,13.0,,,22.0,157.0,3.0,8.0,7.0,63.0,,28.0,3.0,,3.0,,,1.0,26.0,,,4.0,1.0,,,,,,,,,5.0,8.0,,,,,,,,,,,,,,
227,AliShaa2277,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,SoulYetti,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,firefly_o3,2.0,10.0,6.0,,,2.0,,14.0,1.0,,5197.0,1.0,,,,,,,,,,,,,,,,,,,209.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
230,Blaz0,8.0,14.0,,,,3.0,1.0,32.0,,3.0,713.0,44.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,tommytith,18.0,28.0,5.0,5.0,6.0,10.0,56.0,146.0,,64.0,1661.0,4.0,2.0,,,,,1.0,,,,5.0,,5.0,11.0,,,1.0,16.0,,9.0,8.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,4.0,,,,,,2.0,,,,,,,,,,,
232,BlueRiderG,,,,,13.0,,10.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,helvec,1.0,1.0,,,,2.0,,7.0,,28.0,,1.0,,,,,,,,,,,,,1.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
234,Dragon12741,2.0,3.0,,,6.0,3.0,2.0,14.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,BagelsOverBread,,8.0,,,8.0,3.0,1.0,3.0,,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,SamTheSam,4.0,8.0,,,1.0,2.0,4.0,21.0,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,11.0,38.0,13.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
237,joshaneter2,41.0,64.0,,,25.0,32.0,5.0,165.0,,22.0,1309.0,3.0,4.0,,,,,3.0,,,,,,,6.0,,,,,,13.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,StruckV1,12.0,16.0,,2.0,1.0,9.0,9.0,57.0,,,1969.0,15.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
239,ItsHugo885,4.0,20.0,,,2.0,3.0,4.0,49.0,,,4953.0,4.0,1.0,,,,,,,,,1.0,,,2.0,,,,,,32.0,1.0,2.0,,12.0,543.0,1.0,,,,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
240,_Cloudish,3.0,7.0,,,,3.0,2.0,8.0,,,1.0,5.0,,,,,,1.0,,,,,,,,,,1.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,MCKrissy,3.0,6.0,,1.0,14.0,,33.0,25.0,,14.0,,37.0,,,,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Takkuri,,,,,,3.0,,,,,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
243,ronDuma,6.0,49.0,,,1.0,34.0,,90.0,,253.0,1739.0,5.0,,1.0,,,,,,1.0,,,,,,,,,,,16.0,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,TheBlessedTomato,117.0,353.0,45.0,20.0,46.0,136.0,47.0,649.0,39.0,28.0,6688.0,52.0,5.0,4.0,67.0,,7.0,108.0,9.0,11.0,31.0,8.0,5.0,,66.0,3.0,51.0,32.0,104.0,1.0,153.0,20.0,,15.0,3.0,272.0,82.0,,1.0,34.0,3.0,,4.0,11.0,,6.0,20.0,2.0,,1.0,,,,,,,,9.0,1.0,8.0,,,1.0,,,,,,,,,
245,DragooCraft,,,,,,,2.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
246,Bortopian,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Avoicc,,,,,3.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Stulm_,29.0,56.0,13.0,8.0,4.0,38.0,12.0,171.0,1.0,8.0,5863.0,47.0,1.0,,,,3.0,3.0,,,,11.0,,1.0,,,,1.0,26.0,,8.0,12.0,2.0,2.0,2.0,246.0,,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
249,iicypisces,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,baesna,2.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Pilotscreen,2.0,8.0,,,7.0,9.0,4.0,8.0,,6.0,1.0,4.0,,1.0,,,,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Illegalizing,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Benguinn,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,3Y3l3SS,1.0,1.0,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Visgay22,,,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,VariantKim,2.0,6.0,,,15.0,,6.0,10.0,,41.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Nierro,9.0,16.0,,1.0,1.0,6.0,,9.0,1.0,9.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Dirt_Cheap_Duke,5.0,6.0,,,4.0,1.0,13.0,16.0,,2.0,,2.0,,,,,,8.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PlutoXV,12.0,32.0,,,11.0,6.0,10.0,70.0,,1.0,,8.0,3.0,,,,,7.0,,,,,,,2.0,,,,,7.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,ColonelKurtz73,,2.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,A_Slavic_Potato,5.0,14.0,,,,3.0,40.0,29.0,,28.0,6575.0,1.0,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,__Senpaii,330.0,1026.0,195.0,196.0,216.0,658.0,150.0,1629.0,32.0,194.0,18117.0,162.0,34.0,74.0,59.0,16.0,33.0,43.0,,18.0,10.0,115.0,42.0,2.0,65.0,26.0,235.0,282.0,30.0,12.0,379.0,79.0,19.0,48.0,1.0,28.0,139.0,9.0,12.0,41.0,39.0,7.0,18.0,41.0,32.0,20.0,88.0,29.0,48.0,20.0,765.0,,8.0,30.0,60.0,2.0,32.0,74.0,28.0,4.0,4.0,8.0,383.0,24.0,,,19.0,,,,1.0,7.0
263,MaroonMoron355,11.0,2.0,,,15.0,4.0,79.0,12.0,,75.0,,9.0,,,,,,,,,,,3.0,,,,,9.0,,,27.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
264,tuckcedo,249.0,1204.0,15.0,86.0,70.0,249.0,175.0,1158.0,58.0,58.0,17328.0,58.0,15.0,2.0,24.0,4.0,30.0,109.0,4.0,1.0,18.0,20.0,10.0,2.0,94.0,5.0,47.0,194.0,20.0,26.0,71.0,24.0,6.0,26.0,,31.0,172.0,3.0,,10.0,1.0,3.0,10.0,9.0,3.0,1.0,14.0,2.0,,8.0,,2.0,,2.0,,1.0,,19.0,1.0,7.0,4.0,2.0,2.0,,,,,,,,,
265,ChiefNerdCraig,6.0,6.0,,,2.0,7.0,,15.0,,1.0,3.0,2.0,,,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,born_child,4.0,18.0,,,4.0,6.0,5.0,18.0,,8.0,9515.0,2.0,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,4.0,13.0,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
267,tom_9015,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Bulkaa9,16.0,802.0,161.0,7.0,36.0,20.0,56.0,566.0,3.0,37.0,5560.0,6.0,2.0,,25.0,1.0,,5.0,,,,,3.0,12.0,1.0,,,36.0,,6.0,,8.0,,1.0,,44.0,56.0,,,,,,,,,,,16.0,,2.0,3.0,,,,,2.0,,,,,3.0,1.0,,,,,,,,,,
269,gothwaifu001011,13.0,41.0,,,32.0,3.0,19.0,63.0,,13.0,515.0,10.0,,,,,,,,,,,1.0,,,,,7.0,,,,3.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,doubloon,3.0,12.0,,,,4.0,,19.0,,1.0,76.0,2.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Vertym360,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Taffydragon,1.0,7.0,,,,3.0,3.0,15.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Theddy,65.0,197.0,83.0,269.0,,128.0,8.0,334.0,37.0,40.0,5431.0,226.0,8.0,,94.0,,4.0,18.0,,,,88.0,,7.0,81.0,13.0,10031.0,1.0,440.0,18.0,344.0,24.0,,2534.0,8.0,717.0,101616.0,,2.0,,16.0,13.0,1700.0,7.0,,14.0,8261.0,,,,,,,,,,,50.0,,,3.0,,,,,,,,,,,
274,annabouncy,5.0,16.0,,,1.0,4.0,10.0,29.0,,4.0,,1.0,2.0,,,,,,,,,,,1.0,,,,7.0,,9.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,TheMusicMan31,3.0,28.0,,,1.0,27.0,1.0,60.0,,,1586.0,2.0,2.0,1.0,,,,,,,,,2.0,,8.0,,,,,,57.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Xaryop,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,MuffyHotBuns,,4.0,,,1.0,,3.0,7.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
278,KermitTheFrogey,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,OhEmBee,,,,,4.0,,7.0,4.0,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,croprol,14.0,53.0,,,8.0,11.0,6.0,69.0,,30.0,2.0,3.0,6.0,,,,,1.0,,,,,17.0,,,,1.0,373.0,,,14.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
